Tú tomarás.,Nde pejapyhyt.
Nosotros no felicitaremos.,Ñande ndajarohoryit.
Ella no adhería.,Ha'e nombojaimi.
Nosotros no cumpliremos.,Ore noromboajeit.
Vosotras ponéis.,Peẽ pemoĩ.
Ellos no mantuvieron a esta diligencia.,Nomongaruikuri hikuái ko kyre'ỹme.
Tú concluías.,Nde pemombami.
Él nadó.,Ha'e ojepokuitakuri.
Nosotros gozaremos las creencias.,Ore rovy'at jeroviakuéra.
Vosotras no abristeis.,Peẽ ndapepevuikuri.
Ellos no negaban con nuestra transferencia.,Nombotoveimi hikuái ñane ñembyekoviandi.
Vosotras no abríais.,Peẽ ndapepe'aimi.
Ellas velaron.,Ha'ekuéra oñangarekokuri.
Ella corta.,Ha'e okytĩ.
Vosotras no recuperasteis.,Peẽ ndaperojevyikuri.
Ella no extiende.,Ha'e ndopysoi.
Yo lamenté.,Che arojahe'okuri.
Nosotros no abrazaremos.,Ñande nañañuvãit.
Ella no divulgaba esta salud a las mejoras.,Ha'e nomosarambirimi ko tekokatu ñemoporãvekuérape.
Yo tomé.,Che akuãchaĩkuri.
Vosotros no sazonáis aquellos sentidos.,Peẽ napembohei umi andukuéra.
Tú vistes esas casillas.,Nde pemonde umi koty'ikuéra.
Ellas admiraban.,Ha'ekuéra omomba'emi.
Ella no trajo los horizontes.,Ha'e ndoruikuri ararapokuéra.
Ellos no juegan nuestras oradoras.,Noñembosaráiri ore jejuru'óvakuéra hikuái.
Yo no meteré.,Che nañoñait.
Vosotros no maltratasteis vuestro servicio.,Peẽ ndapejahéirikuri pene pytyvõ.
Tú negabas a aquella envergadura.,Nde pembotovemi ako hovanape.
Ellas no borraron aquellas sospechas.,Ha'ekuéra nomboje'oikuri umi jepoyhukuéra.
Vosotras no castellanizáis nuestras disculpas.,Peẽ napemokaraiñe'ẽi ñane ñyrõnguéra.
Vos no cobijaste.,Nde napeñuvãikuri.
Vos no compondrás.,Nde ndapepyahait.
Tú no partes.,Nde napembo'iri.
Vosotros hablasteis.,Peẽ pemongetakuri.
Ellas chapuzarán vuestras deshonras.,Oñapymit hikuái pene ñemongy'akuéra.
Yo no presentaba para vuestras fortalezas.,Che ndaruimi pene pyatãnguéra g̃uarã.
Yo no trasladaba hasta aquella pista.,Che nambovaimi amo pypore peve.
Ellas ocuparán.,Ha'ekuéra ojokuáit.
Tú no caíste.,Nde ndapekukúirikuri.
Yo no emancipaba este silencio.,Che namosãsoimi ko kirirĩ.
Vosotros tirasteis vuestras concordias en esos tesoros.,Peẽ pemombokuri pene jurupeteĩnguéra umi tembiayhukuérape.
Tú no dispones.,Nde napemoĩri.
Ellas producen aquella figura.,Ha'ekuéra omoheñói aipo ta'anga.
Ella no pone.,Ha'e nomoĩri.
Vos abres estos dones sobre esta publicidad.,Nde pemboty'o ko'ã temime'ẽnguéra ko momarandu ári.
Él no encajó.,Ha'e nokuapytĩrikuri.
Nosotras iniciamos.,Ñande ñañepyrũkuri.
Nosotras iniciamos.,Ñande ñañepyrũ.
Nosotros discutimos.,Ore roñombohováikuri.
Nosotros discutimos.,Ñande jataky.
Tú imploraste nuestra crecida.,Nde peñepomoĩkuri ore ysyrysẽ.
Vosotras manifestabais.,Peẽ pe'ytami.
Él aparece vuestro tope.,Ha'e ojehechauka pende apy.
Vosotros sufríais.,Peẽ perasymi.
Vos no encaminarás estas paradas.,Nde napemboguatait ko'ã pytakuéra.
Tú no despuntabas.,Nde napeapysẽimi.
Vos entregarás.,Nde pembohasat.
Ellos alojaban.,Ha'ekuéra ombohupami.
Ellas defenderán.,Ha'ekuéra opytyvõt.
Tú hablabas.,Nde peñe'ẽmi.
Vosotros no trabajabais.,Peẽ napemba'apoimi.
Nosotros no levantábamos estas ciudadanas.,Ñande nañamopu'ãimi ko'ã tavayguakuéra.
Vosotras no pasasteis.,Peẽ ndapeikoikuri.
Ellos no expresarán.,Ndeho'yitat hikuái.
Vosotros patinabais.,Peẽ pepysyrymi.
Ellos no entregan.,Ha'ekuéra nome'ẽi.
Él trabajó.,Ha'e omba'apokuri.
Yo velo desde esa apuesta.,Che ajaho'i ku ñua'ã guive.
Yo explotaba a estos cordeles.,Che apumi ã sãnguérape.
Vos mudas esas murallas.,Nde pembova umi mongorahakuéra.
Vosotros pusisteis.,Peẽ pemoĩkuri.
Tú acercabas.,Nde pemoaguĩmi.
Ellas preguntarán vuestro nervio a esta imagen.,Ha'ekuéra oporandut pende taju ko ta'angape.
Ellas preguntarán vuestro nervio a esta imagen.,Oporandut ta'angape pende taju ta'angapehikuái ko.
Vosotros no dependíais.,Peẽ napesaingoimi.
Tú no mantendrás.,Nde ndaperekoit.
Vos no heriste vuestra autora.,Nde ndapeharuikuri pende apohára.
Nosotros no demorábamos sobre los sols.,Ore noromboareimi kuarahykuéra ári.
Ellas no traerán nuestras galerías.,Ha'ekuéra nombouit ñande ogaguykuéra.
Vosotras escondisteis en vuestras letrinas.,Peẽ perokañykuri pende jekakahakuérape.
Ella no publicaba las sillas a nuestras instigadoras.,Ha'e nombojekuaaimi apykakuéra ore hatapyñahakuérape.
Vosotros no repusisteis estas normas a nuestras superficies.,Peẽ napemyengoviaikuri ã tekorãnguéra ore apekuérape.
Él no murió.,Ha'e ndoarapaikuri.
Vosotros no trasnochabais a esta autoridad.,Peẽ napeke'ỹimi ko tendotape.
Nosotras no incluimos la anciana.,Ore noromoingei lekaja.
Nosotras no incluimos la anciana.,Ñande nañamoingeikuri lekaja.
Vos no acercarás sobre vuestro cocinero.,Nde ndaperojait pene tembi'u'apoha ári.
Nosotros corremos.,Ore rosoro.
Ellos erraban.,Ojejavymi hikuái.
Tú favoreciste la impresión.,Nde pepytyvõkuri ñeimo'ã.
Tú no meterás.,Nde napeñoñait.
Ellas no flotarán.,Ndovevúirit hikuái.
Ellos no sumaron.,Ndopapaikuri hikuái.
Él no perjudicará la oposición.,Ha'e nombyairit ñembohovái.
Vosotras no ofrecéis.,Peẽ napekuave'ẽi.
Ellos no molestan.,Nomoñeko'õiri hikuái.
Ellas cayeron.,Ha'ekuéra okukúikuri.
Ella no perseguía aquellas sedes.,Ha'e nomoñaimi umi tendakuéra.
Ellas conversaban.,Oñomongetami hikuái.
Ellas no hicieron sobre esta maestra.,Ha'ekuéra nomba'apoikuri ko moaranduhára ári.
Tú no cuidarás.,Nde napeñongatuit.
Nosotras significamos.,Ñande ja‘esekuri.
Nosotras significamos.,Ore ro‘ese.
Ellos no escurrían.,Ha'ekuéra nombosyryimi.
Vosotros levantaréis.,Peẽ pemopu'ãt.
Tú no dirigirás.,Nde napesãmbyhyit.
Vos multiplicarás de estas ideas.,Nde pembohetavet ko'ã apytu'ũrokykuéragua.
Yo no finalizaba nuestra rodaja.,Che namombaimi ñande vore.
Nosotros forzamos aquellas pilas.,Ore rorairõ umi atykuéra.
Nosotros forzamos aquellas pilas.,Ñande ñarairõkuri umi atykuéra.
Tú no demoras.,Nde napembyajei.
Ella detenía de aquellos informes.,Ha'e ojokomi umi marandukuéragui.
Vosotros no despertaréis vuestras comunicaciones en los instructores.,Peẽ napemombáyit pene ñemomarandukuéra moaranduhárakuérape.
Vos no reflexionarás.,Nde napepy'amongetait.
Vosotros no aprobáis aquella semilla.,Peẽ napemoneĩri ako ta'ỹi.
Nosotros no velaremos con ese tatuaje.,Ñande nañamamait ku pinindi.
Vosotras permitiréis aquellos paquetes.,Peẽ pemboajet umi apytĩmbykuéra.
Vos no fallecías sobre esta etapa.,Nde napemanoimi ko ararasa ári.
Nosotras no fluimos.,Ore ndorochivivirikuri.
Nosotras no fluimos.,Ñande ndajasyryi.
Ellos reflejaban a aquellas tajadas.,Ha'ekuéra ojajáimi umi pehẽnguekuérape.
Ellas no flotan.,Ndovevúiri hikuái.
Vosotros movíais vuestra posición.,Peẽ pemomymýimi pene ñemoĩ.
Ellas no defendían por estos traductores.,Ha'ekuéra nomoñuvãimi ã mbohasahárakuéra rehe.
Nosotros no callamos.,Ore nororokirirĩrikuri.
Nosotros no callamos.,Ñande nañarokirirĩri.
Ella no portará con aquellos conocimientos.,Ha'e ndogueruit umi tembikuaakuéra ndive.
Ellos no vivirán.,Ha'ekuéra ndoikoit.
Nosotras no trabajamos.,Ñande nañamba'apoikuri.
Nosotras no trabajamos.,Ñande nañamba'apoi.
Vosotros no comunicáis.,Peẽ ndapekuaaukai.
Ellas no adelantan desde esos departamentos.,Nomotenondei guive guivehikuái umi teta'ikuéra.
Ella no concedía nuestros lados a esta charla.,Ha'e nome'ẽimi ore popykuéra ko ñemoñe'ẽme.
Ella no concedía nuestros lados a esta charla.,Ha'e nome'ẽimi ore ykekuéra ko ñemoñe'ẽme.
Él acató nuestras educaciones.,Ha'e oñakãitykuri ore mbo'ekuéra.
Vosotras estrenáis.,Peẽ pemoñepyrũ.
Nosotros privamos los padres.,Ñande jape'a taitakuéra.
Nosotros privamos los padres.,Ñande jape'akuri rukuéra.
Vosotros pasabais aquel litoral.,Peẽ pembohasami aipo rembe'y.
Ellos no transmitieron nuestros sones a esa nena.,Nombohasaikuri ñande pukuéra ku mitã'ipe hikuái.
Ellos no transmitieron nuestros sones a esa nena.,Ha'ekuéra nombohasaikuri ore pukuéra upe mitã'ipe.
Tú no llegas.,Nde napeguahẽi.
Ella no discutía con las pobrezas.,Ha'e ndotakyimi mboriahukuéra ndive.
Vosotras erraréis por vuestra secretaria.,Peẽ pejejavyt pene tembiguáire.
Nosotros no procedíamos.,Ñande ndajajapoimi.
Nosotras lucíamos.,Ore rojajáimi.
Nosotras no escribiremos vuestros bancos.,Ore ndorokuatiait pende guapyhakuéra.
Vosotros no igualasteis los edenes a nuestro consentimiento.,Peẽ napembojojaikuri vy'arendakuéra ore moneĩme.
Él tantea aquellas agricultoras a la imposibilidad.,Ha'e opoko umi kokueguárakuéra ikatu'ỹhape.
Ella maduró.,Ha'e ombyajukuri.
Ellos no establecen esta cáscara.,Nomohendai ko ape hikuái.
Ella no multiplicaba.,Ha'e noñemoñaimi.
Yo ubico.,Che amohenda.
Ella participa.,Ha'e omomarandu.
Tú no yerras.,Nde napemba'eavyi.
Él no desarrollaba.,Ha'e nomongakuaaimi.
Nosotras no entrevistábamos.,Ñande nañañomongetaimi.
Vosotras recogíais nuestra maduración.,Peẽ pepo'omi ñande ajukue.
Ellas no obraron.,Ha'ekuéra ndokakaikuri.
Ella cumple.,Ha'e omboaje.
Él zumbaba a vuestro viejo.,Ha'e onundumi pende lekajape.
Vosotros no comprometíais.,Peẽ napeporoapytĩrimi.
Él encontrará.,Ha'e ojohut.
Ellas ponen.,Ha'ekuéra omohenda.
Nosotras no bostezamos.,Ore ndorojejurupe'aikuri.
Nosotras no bostezamos.,Ore ndorojejurupekai.
Vosotras no despegasteis.,Peẽ ndapeyvyrejaikuri.
Nosotras diferenciamos.,Ñande ñamoingoekuri.
Nosotras diferenciamos.,Ñande ñambojoavy.
Ellas no acercaron.,Ndorojaikuri hikuái.
Nosotras no retuvimos aquellas convivencias.,Ñande ndajarekoveikuri umi joguerekokuaakuéra.
Yo empapaba nuestra amiga.,Che amyakỹmi ñande lopi.
Ella tiende.,Ha'e omosaingo.
Yo burlo hasta esas traducciónes.,Che ambotavy umi ñembohasakuéra meve.
Vos plantaste nuestros corajes.,Nde pemoñembo'ykuri ñane kyhyje'ỹnguéra.
Vosotras conduciréis sobre esa modalidad.,Peẽ pesãmbyhyt ku teko ári.
Vosotras desarrollaréis para la encargada.,Peẽ pemongakuaat ñangarekoha g̃uarã.
Vosotras no comenzáis a esas gatas.,Peẽ napemoñepyrũi umi chivikuérape.
Vosotras no ofrecéis.,Peẽ ndaperopojáiri.
Ella saltaba para aquellas moscas.,Ha'e opomi umi mberukuéra g̃uarã.
Ellas no sumergían.,Ha'ekuéra nombo'yguyimi.
Nosotras criticaremos aquellos recuerdos a los remansos.,Ñande jakaguait umi anga'ukuéra yjerekuérape.
Ellos no expiraban.,Ndopytupaimi hikuái.
Ella no iniciará.,Ha'e noñepyrũit.
Ellas desembolsaron el pequeño de ese rumor.,Ha'ekuéra ovirume'ẽkuri mitã'i pe je'egui.
Vosotras no perdisteis.,Peẽ napemokañyikuri.
Vosotras no tenderéis.,Peẽ napemosaingoit.
Vosotros volvéis.,Peẽ pejevy.
Vosotras no palpabais el sembrado.,Peẽ ndapejevykaimi temitỹ.
Nosotras ofreceremos a esos dolores.,Ñande ñakuave'ẽt umi rasykuérape.
Ellas ascendían esos estes a vuestras nubes.,Ha'ekuéra ojupimi umi kuarahyresẽnguéra pende araikuérape.
Ellos no seguían.,Nomuñaimi hikuái.
Nosotros no peleamos.,Ore noroñorairõikuri.
Nosotros no peleamos.,Ñande nañañorairõi.
Tú operarás vuestra semana.,Nde pejapot pene arapokõindy.
Él expresa.,Ha'e ho'yta.
Yo pensé.,Che aimo'ãkuri.
Tú fluiste.,Nde pesyrykuri.
Él no plantará.,Ha'e noñotỹit.
Vosotros no disparáis.,Peẽ napembokapui.
Nosotros no saltábamos.,Ñande ndajatutuimi.
Ellas convertirán las yuntas desde esta española.,Ombovat guive mokõinguéra guivehikuái ko karaiñe'ẽ.
Nosotros necesitamos.,Ñande ñakotevẽkuri.
Nosotros necesitamos.,Ñande ñakotevẽ.
Ellos tomarán.,Hoi'ut hikuái.
Vos no procedías.,Nde ndapejapoimi.
Vosotros perdéis.,Peẽ pemokañy.
Yo conseguía este desembolso.,Che apojáimi ko virume'ẽ.
Nosotros entregábamos.,Ore rombopojáimi.
Nosotros no desarrollamos.,Ñande nañamopu'ãikuri.
Nosotros no desarrollamos.,Ore noromopu'ãi.
Yo no alojé.,Che namoguahẽikuri.
Vos estallas desde estos textos.,Nde pepu ko'ã kuatiakuéra guive.
Vosotras no obedecisteis.,Peẽ napemboajeikuri.
Nosotras investigábamos.,Ore ropyguarami.
Vosotros no trataréis.,Peẽ napeñe'ẽit.
Ella no burla esa trompada.,Ha'e nombotavyi upe poapi.
Vos pasas hasta estas explicaciones.,Nde pembohasa ko'ã ñemohesakãnguéra meve.
Vosotras ingresasteis.,Peẽ peikekuri.
Vosotras dormíais.,Peẽ pekemi.
Él preparó.,Ha'e osako'ikuri.
Vosotros dudáis.,Peẽ pepy'amokõi.
Él no levanta.,Ha'e noropu'ãi.
Ella no abrazaba.,Ha'e noñuvãimi.
Él no dirigirá.,Ha'e nosãmbyhyit.
Yo cortaba.,Che akytĩmi.
Vosotros radicáis.,Peẽ pembohapo.
Vos prendías tu jefe a estas convenciones.,Nde peñembohapomi ne tendota ã amandajekuérape.
Vos prendías tu jefe a estas convenciones.,Nde pepyhymi nde uru ã amandajekuérape.
Ella no tiraba.,Ha'e noha'ãimi.
Ellos no obstruirán aquel ganado.,Nomopa'ãit amo tymba hikuái.
Yo haré.,Che ajapot.
Tú obraste.,Nde pekakakuri.
Vosotras vestiréis nuestro tirón.,Peẽ pemboaot ore syrýky.
Ellos no recogían.,Ha'ekuéra nombuatyimi.
Ella gustó para nuestra etapa.,Ha'e okumbykuri ore ararasa g̃uarã.
Ella no jugaba vuestro poeta.,Ha'e noñembosaráirimi pene ñe'ẽpapára.
Yo no portaré aquella diversión.,Che ndaguerekoit amo tory.
Él tumbará.,Ha'e oityt.
Tú reduces estas resistencias.,Nde pemomichĩve ko'ã tosãnguéra.
Ellos no entregaron.,Nombohasaikuri hikuái.
Yo no seguí.,Che namoñaikuri.
Él no desaparecía.,Ha'e nokañyimi.
Tú pones.,Nde pemohenda.
Él entenderá.,Ha'e okumbyt.
Vosotros mudaréis estas bocas.,Peẽ perovat ã jurukuéra.
Él refería este poseedor de nuestra esperanza.,Ha'e okuaaukami ko terekoha ñane ta'arõgui.
Vos trabajas.,Nde pemba'apo.
Él no hará.,Ha'e ndojapoit.
Ellos no dirigen.,Nosãmbyhyi hikuái.
Nosotros caíamos.,Ore ja'ami.
Nosotros progresamos en nuestras nenas.,Ore roñemotenondekuri ore mitã'ikuérape.
Nosotros progresamos en nuestras nenas.,Ñande ñapu'ã ñane mitã'ikuérape.
Nosotras no investigamos esos prójimos.,Ore ndoropyguarai umi rapichakuéra.
Nosotras no investigamos esos prójimos.,Ore ndorotypekaikuri umi rapichakuéra.
Él cesará aquella puerta.,Ha'e opat ako okẽ.
Ella no dispone.,Ha'e nomoĩri.
Vosotras no alzáis en vuestros estes.,Peẽ napemopu'ãi pene kuarahyresẽnguérape.
Ella pasa estos peatones a estos negocios de este lazo.,Ha'e ojehu ã yvyrupiguakuéra ko'ã ñemukuérape ko joajugua.
Nosotras no podemos esos huecos a ese comedor.,Ñande ndajaikatui umi kuarekuéra ku karuhape.
Ellas necesitarán.,Okotevẽt hikuái.
Él mudaba.,Ha'e ombovami.
Tú no trascenderás.,Nde napeñemuasãirit.
Nosotros brillamos.,Ñande jajajáikuri.
Nosotros brillamos.,Ñande ñamimbi.
Él no intercambiará esos indicios.,Ha'e nomyengoviait umi techaukahakuéra.
Nosotras no quebrábamos.,Ore noromopẽimi.
Ellos no necesitaban.,Ha'ekuéra nokotevẽimi.
Ellos presentarán esa ciudadana.,Orut ku tavaygua hikuái.
Vosotras pronunciasteis sobre esa bandera.,Peẽ peñe'ẽkuri ku aoveve ári.
Yo tenía.,Che arekomi.
Nosotras no sumábamos.,Ore ndoropapaimi.
Ella espera.,Ha'e ojerovia.
Él no abraza.,Ha'e noñañuvãi.
Tú no presentabas.,Nde napekuave'ẽimi.
Él no trasladará nuestros alumnos.,Ha'e ndorovait ore temimbo'ekuéra.
Nosotros no rompimos.,Ñande nañamopẽikuri.
Él comunicaba.,Ha'e okuaaukami.
Vos no vegetas.,Nde ndapeikoreiri.
Vos no acercabas en aquellas cenizas.,Nde napembojaimi umi tanimbukuérape.
Nosotros pasaremos.,Ore roikot.
Él no cooperó.,Ha'e noñopytyvõikuri.
Ellos no partieron.,Ha'ekuéra nopesẽ'ãikuri.
Ella dirigía.,Ha'e osãmbyhymi.
Vosotros fracasasteis.,Peẽ pejavykuri.
Ellos ingresaron nuestros puestos.,Oikekuri ore koty'ikuéra hikuái.
Nosotros saldremos sobre vuestras televisiones.,Ore rosẽt pene ta'angambyrykuéra ári.
Ellas no esperaban.,Ha'ekuéra ndojeroviaimi.
Ellas removerán las copias a vuestras sensibilidades.,Ha'ekuéra ojavykyt tekora'ãnguéra pene andukuérape.
Ellas no mudaron.,Nombovaikuri hikuái.
Él volará.,Ha'e otutut.
Ellas no desarrollaban.,Nomongakuaaimi hikuái.
Él no retribuyó esas evidencias a nuestras mercaderías.,Ha'e nombuekoviaikuri umi techaukapykuéra ore temiñemukuérape.
Nosotras no fluctuamos.,Ore noropy'amokõirikuri.
Nosotras no fluctuamos.,Ore noropy'amokõiri.
Tú no valiste a vuestros dorados.,Nde ndapevaleikuri pende pirajukuérape.
Ella hacía sobre esa conciencia.,Ha'e omba'apomi upe tekoresa ári.
Vosotros no reflexionáis.,Peẽ napepy'amongetai.
Ella no expresó.,Ha'e ndeho'yitakuri.
Vos no proseguiste.,Nde ndapejapoveikuri.
Vosotras necesitabais.,Peẽ pekotevẽmi.
Tú no convertirás.,Nde napembovait.
Yo acogía.,Che amoguahẽmi.
Ella no sembró esas forasteras.,Ha'e noñotỹikuri umi hasahakuéra.
Vos no prensabas vuestro comienzo.,Nde ndapejopyimi pene ñepyrũ.
Vos haces.,Nde pejapo.
Yo no caminaba de aquellas firmas.,Che ndaguataimi umi teraguapykuéragui.
Ella no mete.,Ha'e nomoingei.
Él no adhería.,Ha'e nombojaimi.
Tú secuestraste los homenajes.,Nde peñomikuri temikuave'ẽnguéra.
Ellos no patalearán por esa marca.,Ha'ekuéra nopyrũit upe pore rupi.
Ellas pierden vuestras costillas.,Ha'ekuéra orokañy pene ñarukãnguéra.
Ella encaminará.,Ha'e omboguatat.
Ellas formarán la pensión.,Ha'ekuéra ombohekot mbohupa.
Vos no leerás.,Nde napemoñe'ẽit.
Ella callaba.,Ha'e orokirirĩmi.
Vos recuerdas esas religiones a la prójima.,Nde penga'u umi jeroviakuéra tapichape.
Vos recuerdas esas religiones a la prójima.,Nde penga'u umi jeroviakuéra tapichape.
Nosotros viajamos.,Ñande jaguatakuri.
Nosotros viajamos.,Ñande jaguata.
Nosotros no estudiamos nuestra causa.,Ore ndorojetypekai ñande ypy.
Nosotros no estudiamos nuestra causa.,Ñande nañañemoaranduikuri ñande ypy.
Nosotros no jugábamos.,Ñande nañambojaruimi.
Tú hiciste esos prometidos.,Nde pemba'apokuri umi menarãnguéra.
Ellos perdían nuestro desembolso.,Omokañymi ore virume'ẽ hikuái.
Yo recolecté este presidente por este tizón.,Che ambyatykuri ko mburuvicha ko tata'y rupi.
Ellas defraudarán aquel estruendo de vuestras eras.,Ha'ekuéra ombotavyt amo guarara pende árakuéragua.
Ellos no partieron de vuestras intemperies.,Nombosa'irikuri hikuái pende araresakuéragui.
Nosotros no cargaremos.,Ore noromyenyhẽit.
Ellos no prestaban.,Ndoporukaimi hikuái.
Ella presenta.,Ha'e okuave'ẽ.
Ellas cotizan.,Ombohepy hikuái.
Vosotros no perdéis.,Peẽ napemokañyi.
Ella no mantiene.,Ha'e ndorekoi.
Vosotras no retomasteis estos ciudadanos.,Peẽ ndaperojevyikuri ko'ã tetaguãnguéra.
Nosotros no restableceremos ese entretenimiento a vuestras gallinas.,Ñande nañamohesãirit upe ñembosarái pende ryguasukuérape.
Ellos protegen este presagio.,Ha'ekuéra oñuvã ko ñeha'uvõ.
Yo expresé de vuestros descaros.,Che ha'ytakuri pene tova'atãnguéragua.
Yo no toco.,Che nahámai.
Ella prescribió.,Ha'e ojapoukakuri.
Vosotras vivíais.,Peẽ peikovemi.
Yo crepitaba sobre vuestra prórroga.,Che apururũmi pene ñemboare ári.
Nosotras lavamos estos gatos.,Ore rojohéi ã mbarakajakuéra.
Nosotras lavamos estos gatos.,Ñande jajohéikuri ã chivikuéra.
Yo no pasaba.,Che nambohasaimi.
Vosotros reinasteis a la disculpa.,Peẽ peporokuáikuri ñyrõme.
Ellas privaban.,Ope'ami hikuái.
Ella condujo ese nivel en aquel caudal.,Ha'e osãmbyhykuri ku jojaha ako syrype.
Vosotras no pensáis la olla.,Peẽ napeimo'ãi japepo.
Ellas no coincidían.,Noñe'ẽjojaimi hikuái.
Vosotras pintáis.,Peẽ pembopara.
Vos investigas hasta esas autoridades.,Nde petypeka umi mburuvichakuéra meve.
Ellos gustan esos calores.,Ha'ekuéra okumby umi takukuéra.
Yo no aguantaré las prensas.,Che ndajejokoit jopyhakuéra.
Nosotras dirigimos.,Ñande ñasãmbyhykuri.
Nosotras dirigimos.,Ore rosãmbyhy.
Yo fijé.,Che ajatykakuri.
Ellos no prosperarán.,Noñakãrapu'ãit hikuái.
Yo significo aquella vista.,Che a‘ese amo tesa.
Tú no dirigiste.,Nde napesãmbyhyikuri.
Tú no eludías nuestro riesgo.,Nde ndapejehekýirimi ñane kyhyjerã.
Nosotros plantaremos.,Ore roñotỹt.
Ellas no sufrirán.,Ha'ekuéra ndorasyit.
Ellas pronunciarán.,Ha'ekuéra oñe'ẽt.
Vosotros no convertíais con aquellas meriendas.,Peẽ napembovaimi umi py'ajokokuérandi.
Ellas acogerán.,Ha'ekuéra omoguahẽt.
Tú no contaste.,Nde ndapepapaikuri.
Nosotras registramos vuestro despertar.,Ñande jajepovyvy pende páy.
Nosotras registramos vuestro despertar.,Ñande jajepovyvykuri pende páy.
Tú confiaste.,Nde peroviakuri.
Ellos no cuidaron.,Noñangarekoikuri hikuái.
Nosotros no tendemos.,Ñande nañamosaingoi.
Ellos leyeron de este alboroto.,Ha'ekuéra omoñe'ẽkuri ko tyapugui.
Yo tengo.,Che aguereko.
Vos no moviste.,Nde napemomýirikuri.
Yo no seguía.,Che namoñaimi.
Él exaltará los artículos.,Ha'e ombotuichat mba'eñemukuéra.
Vos no pedirás estos focos al patrocinio.,Nde ndapejerureit ko'ã mba'erendykuéra ñemo'ãme.
Vosotros no nadaréis.,Peẽ ndepe'ytait.
Tú echarás por nuestra ayuda.,Nde pemosẽt ñane pytyvõ rehe.
Ellas abrirán.,Opevut hikuái.
Nosotros levantaremos.,Ore rombojupit.
Vosotras no participasteis.,Peẽ napemomaranduikuri.
Yo ocuparé.,Che ajokuáit.
Yo trasladaba.,Che ambovami.
Él no tomaba aquel misterio.,Ha'e ndojapyhyimi aipo ñemimby.
Nosotros no participamos la angustia.,Ore noromomarandui jepy'apy.
Nosotros no participamos la angustia.,Ñande nañamomaranduikuri jepy'apy.
Vosotros no rompíais.,Peẽ napemondoroimi.
Vosotros descansasteis.,Peẽ pepytu'ukuri.
Él penaba estas administradoras.,Ha'e opy'arasymi ã ñangarekohárakuéra.
Vosotros tomáis los edenes.,Peẽ pepyhy vy'arendakuéra.
Vosotros adelantaréis.,Peẽ pemotenondet.
Él inquietaba esa propagación.,Ha'e omoangekóimi ku asãi.
Él no vendó esos ánimos.,Ha'e noñapytĩrikuri umi py'akuéra.
Ella no condimentaba nuestro pisotón.,Ha'e nomyatyrõimi ore pyrũ.
Ella no huía.,Ha'e ndoguaririmi.
Ella no violentaba vuestros aires.,Ha'e norairõimi pende yvytukuéra.
Yo recogía en la inteligencia.,Che ambyatymi katupyrype.
Yo no rapaba esas vejeces.,Che namoperõimi umi tujakuekuéra.
Vosotras reinaréis de la ropa.,Peẽ peporokuáit aogui.
Ella no contará.,Ha'e nomombe'uit.
Ellos abrieron.,Ha'ekuéra omboty'okuri.
Yo no fracasaba.,Che ndajavyimi.
Ellos no gustarán.,Nokumbyit hikuái.
Nosotras no bajábamos.,Ore ndoroguejyimi.
Yo fracaso.,Che ajavy.
Ellos no hallan la flaqueza a vuestro propósito.,Ndojuhui mbarete'ỹ hikuái pene tembipotape.
Vosotros alzáis hasta aquella fracasada.,Peẽ pemopu'ã aipo javyhára peve.
Nosotras resbalaremos vuestra realidad.,Ore ropysyrỹit pene añetegua.
Yo otorgaba la escasez.,Che ame'ẽmi pokã.
Nosotras no seguiremos.,Ore noromoñait.
Yo hallo el procedimiento.,Che ajohu aporeko.
Ellos no expirarán.,Noangakýirit hikuái.
Nosotros hacíamos.,Ore romba'apomi.
Vosotros no cambiaréis.,Peẽ ndapejerovait.
Ella no pintó.,Ha'e nomboparaikuri.
Vosotros no sobrevendréis aquellos resúmenes a la secretaria.,Peẽ ndapejehuit umi ñemombykykuéra tembiguáipe.
Tú puedes este descenso.,Nde pekuaa ko jeguejy.
Vosotros no obráis.,Peẽ napemba'apoi.
Nosotros proseguíamos.,Ñande jajapovemi.
Él fracasaba.,Ha'e ojavymi.
Tú no prestabas.,Nde napemba'epuruimi.
Vosotros cabecearéis.,Peẽ peakãmbovavat.
Él no calla.,Ha'e norokirirĩri.
Ella descansaba.,Ha'e opytu'umi.
Ellas no abren nuestros secretos.,Ha'ekuéra ndope'ai ore ñemihakuéra.
Ella pudo sobre mis participantes.,Ha'e oikatukuri che ha'ãrakuéra ári.
Ellas colocan nuestras finalidades.,Ha'ekuéra okuapytĩ ñane hupytypyrãnguéra.
Tú no advertirás las plegarias.,Nde napemomaranduit ñembo'ekuéra.
Vos no dirigías.,Nde napesãmbyhyimi.
Ellos portan.,Ha'ekuéra oguereko.
Yo alegré.,Che ambopy'arorykuri.
Vosotras privabais.,Peẽ pepe'ami.
Vosotras trasladaréis.,Peẽ perojat.
Ellos no perdían los anuncios.,Ha'ekuéra nomokañyimi marandukuéra.
Ella desarrolla.,Ha'e omongakuaa.
Yo no paseaba.,Che ndaguataimi.
Ella camina.,Ha'e oguata.
Ellas no acomodaban nuestra secuela.,Nomohendaimi hikuái ore pore.
Ella acomoda vuestra conversación a aquellos estes.,Ha'e omohenda pene ñemongeta umi kuarahyresẽnguérape.
Yo no ocupé.,Che ndajokuáirikuri.
Él no salaba ese desgano.,Ha'e nomohe'ẽimi ku ate'ỹ.
