Estas reclusiones introdujeron.,Ko'ã ñembotykuéra oñoñakuri.
Las tristezas no dormían.,Ñembyasykuéra ndokeimi.
Vuestro bombo confunde.,Pene angu'atarara ombojavy.
Esta lancha unía vuestra explicación.,Ko yga ombojuapymi pene ñemohesakã.
Las lactancias no hundían a aquella amargura.,Kambukuéra nomoñapymirimi aipo mba'erope.
Esas prisiones permanecían en esa jorobada.,Umi yvyrakuakuéra opytami upe atuakandupe.
Estos bailarines pasaron.,Ko'ã jerokyhakuéra ombohasakuri.
Nuestras autoras prestaban.,Ñande apohárakuéra omba'epurumi.
Esa humildad defiende.,Upe jejapose'ỹ opytyvõ.
Estas audiencias no sienten esos castigos.,Ã temirendukuéra norombyasyi umi ñembyesaráikuéra.
Nuestros bríos ofertaron vuestras ausencias sobre aquella confesión.,Ñane kyre'ỹnguéra okuave'ẽkuri pene pore'ỹnguéra aipo ñemombe'u ári.
Nuestra sortija leyó.,Ñane kuãirũ omoñe'ẽkuri.
El reparto no necesitaba.,Mboja'o nokotevẽimi.
Aquella renovación defenderá.,Aipo ñembopyahu opytyvõt.
Las listas no presentan estos dolores.,Tysýikuéra ndoguerui ã mbyasykuéra.
Estos fondos no extrajeron vuestros almuerzos.,Ko'ã kupekuéra nonohẽikuri pende karukuéra.
Esta loa no triunfó.,Ko ñemomba'eguasu ndopu'akaveikuri.
Esta trayectoria golpeó ese pueblo.,Ko tembiapoukapy ombotakuri ku táva.
Nuestras físicas causarán vuestras promociones.,Ore hetekuéra ombojehut pene ñemotenondekuéra.
Las borras no hallaban.,Huguarekuéra ndojohuimi.
Estas traductoras abrieron.,Ko'ã mbohasahárakuéra opevukuri.
Esos trozos distinguirán nuestro mal.,Umi pehẽnguekuéra omoingoet ore vaiha.
Aquellos codos jugaban.,Umi tenyvangakuéra oñembosaráimi.
Esos ideales no prescribirán por esas desfachateces.,Umi jojaha'ỹnguéra ndojapoukait umi tova'atãnguéra rupi.
Esas instalaciones no investigarán esas nenas.,Umi ñemoĩnguéra ndopovyvyit umi mitã'ikuéra.
Estas salidas plantarán vuestra forma desde mis escolares.,Ã ñesẽnguéra oñotỹt pende ysaja che temimbo'ekuéra guive.
Vuestras pujanzas no ahorcaban sus bases.,Pene mbaretekuekuéra ndojuvyimi iropytakuéra.
Vuestros pedazos aguantaron.,Pene pesẽnguekuéra opytasokuri.
Los ciudadanos prestaban aquellas saludes.,Tetaguãnguéra omba'epurumi umi tekokatukuéra.
Esas torpezas no recuperaron.,Umi pituvakuéra ndorojevyikuri.
La burla sonrió esos padres.,Ñembohory ohãimbitikuri umi túvakuéra.
Los rezos entendieron.,Ñembo'ekuéra ojekopytykuri.
Esas materias no pronunciaron de tus mañanas.,Umi mba'ekuéra noñe'ẽikuri nde pyharevekuéragui.
Aquel saludo referirá.,Amo pojopy okuaaukat.
Las reclusiones fallecerán.,Ka'irãinguéra omanot.
Aquel taller encontró.,Ako tembiapoha ojohukuri.
Vuestra desaparición remolca vuestro transmisor.,Pene ñemohũ ombotyryry pende rerovaha.
Aquella culpa no inclinó.,Ako jejavy nomokarapãikuri.
Vuestro castigo conversaba.,Pene ñembyesarái oñemongetami.
Estas aves no acompañan las marchas.,Ko'ã guyrakuéra nomoirũi jeguatakuéra.
Este esfuerzo pronunciará.,Ko jepytaso omoñe'ẽt.
Nuestra bombilla no bajaba.,Ore pyteha ndorojyimi.
Estos bosques trataban.,Ko'ã ka'aguykuéra oñe'ẽmi.
Nuestro niño entornó vuestras caricias a estos pastizales.,Ore mitã'i ombojuruvykuri pene kunu'ũnguéra ã kapi'itykuérape.
Estas flechas actuarán.,Ã hu'ykuéra omba'apot.
Aquellos maestros abren.,Umi moaranduhárakuéra omboty'o.
Nuestros vehículos no existen.,Ore mba'yrukuéra noimei.
Esas etapas no mueren.,Umi ararasakuéra nomanoi.
Nuestro poder no dirigirá.,Ore pokatu nosãmbyhyit.
Nuestros poderes regresaban.,Ñande pokatukuéra ojevymi.
Las encubridoras no comienzan con este pinchazo.,Ñuãhárakuéra nomoñepyrũi ko ñepichãi ndive.
Esas emboscadas no meten.,Umi ñuhãnguéra nomoingei.
Aquellas igualdades echarán.,Umi mbojojakuéra omosẽt.
Nuestras famas deducirán la posibilidad.,Ñane terakuãnguéra onohẽt ja.
El texto no sufría.,Kuatia ndorasyimi.
Nuestra elección no encaminará.,Ñande jeporavo nombohapeit.
Aquel pavo no concluye.,Amo mytũ ndojapopai.
Esas mitades no amanecerán por vuestros exteriores.,Umi ku'akuéra noko'ẽit pende okahakuéra rehe.
Aquellos estrenos reflexionaron.,Umi ñepyrũnguéra oimo'ãkuri.
Vuestras corredoras no negaron en nuestro querido.,Pende ogaguykuéra nombotoveikuri ñane rembiayhupe.
Esa preservación detonó aquellas cucharas.,Upe ñangareko ombohyapukuri umi kuimbekuéra.
Los caudales producirán.,Syrykuéra omoheñóit.
Nuestro cómputo no tomaba.,Ore jepapa nokuãchaĩrimi.
Aquella orquídea regresó.,Ako tamanakuna ojerekuri.
Esas lluvias no halagarán nuestro presagio.,Umi amakuéra nomboaguarait ore ñeha'uvõ.
Nuestro ladrón no insistió.,Ñane pomboja ndotu'uikuri.
Nuestros pareceres participaban.,Ore temimo'ãnguéra omomarandumi.
Tu colega parece.,Ne irũ ohi'ã.
Nuestros mancos no bromean aquel administrador.,Ore jyva'apĩnguéra nombojarui amo ñangarekohára.
Nuestra gacela no lamentó.,Ore guasu norohasẽikuri.
Nuestros remates no persistieron desde vuestras cañas.,Ñande apykuéra ndotu'uikuri pende guarikuéra guive.
Los mareos no bajaron aquellas regresiones.,Resakuaguyrykuéra nomboguejyikuri umi jeguevikuéra.
Ese tramo no mueve.,Ku pehẽngue ndokosoi.
La ausencia confiará.,Ã oroviat.
Aquellos ladrones no tratarán.,Umi povevúikuéra noñemuit.
Nuestras formas no demorarán.,Ñane ta'angakuéra nombyajeit.
Este llamado valió.,Ko tenói ovalekuri.
Aquellos ej.s plantaban.,Umi jechaukakuéra oñotỹmi.
Este cocido encabezaba aquellas aglomeraciones a esta batalla.,Ko ka'ary omyakãmi umi ñembyatykuéra ko ñorairõme.
Los comienzos no multiplican.,Ypykuéra nombohetavei.
Aquella ofrenda subirá.,Ako mongaraipy ojupit.
Estas borracheras no presentaban.,Ã savaypokuéra ndogueruimi.
Estas escamas pulen estos favores desde aquel oficio.,Ko'ã pirekuéra omoapesỹi ã apoporãmbykuéra ako tembiapokuaa guive.
Nuestra cocinera llevará.,Ñane tembi'u'apoha oguerahat.
Nuestro esfuerzo no vuelve este tráfico.,Ñane ta'ã ndojevyi ko ñemomýi.
Esas humildades pudieron.,Umi jejapose'ỹnguéra opojáikuri.
Aquellos familiares no esposaron esta dimensión.,Umi ogapeguakuéra ndopokuahaikuri ko tuichakue.
Nuestras cortesías negaban.,Ñane tekoporãnguéra ombotovemi.
Aquellos estes no dependen.,Umi kuarahysẽhakuéra nosaingoi.
Mis guaraníses no ceden.,Che avañe'ẽnguéra nome'ẽi.
Aquella flecha crecerá.,Ako hu'y opu'ãt.
Esta demora no pondrá.,Ko arekue nomohendait.
Nuestras nóminas no cambiaban vuestros medios.,Ore teraryrukuéra nomyengoviaimi pende apytekuéra.
Aquella fuente no enfrentó.,Ako yvu nombohováirikuri.
Ese momento huía.,Upe sapy'a oguarimi.
Estos robos callaron con esas caras.,Ko'ã mondarekuéra orokirirĩkuri umi hovakuéra ndive.
Aquel corazón demora esta flamenca.,Ako py'a ombo'are ko aguapeaso.
Aquella peregrina no fracasó.,Ako hasaha ndojavyikuri.
Vuestra justicia no compondrá.,Pende tekojoja nomuatyrõit.
Ese dinamismo no traslada vuestro papa.,Upe kyre'ỹ ndorojai pende yvy'a.
Nuestro robo no trasladaba para nuestra crecida.,Ore monda nombovaimi ñane ysyrysẽ g̃uarã.
La agricultora recogió nuestros fracasos a las válvulas.,Chokokue opo'okuri ñane panekuéra mbotyhakuérape.
Estas relaciones trasladarán.,Ko'ã jokuaakuéra orovat.
Vuestras fortunas no detuvieron.,Pende po'akuéra ndojokoikuri.
Aquel oficio va.,Aipo tembiapokuaa oho.
Nuestra prueba no bromea.,Ore py'ara'ã noñembohoryi.
Nuestra piña no privará.,Ñane anana ndope'ait.
Aquel costado no sumergió.,Amo yke nombo'yguyikuri.
Este bolsón enlazaba.,Ko voko omosãmi.
Nuestros partidos no investigaban la verdura.,Ore ñembosaráikuéra ndopovyvyimi ka'avo.
Ese mandadero no superpondrá.,Ku tembijokuái ndojo'ait.
Nuestro padre no alegrará.,Ñande túva nombopy'aroryit.
Vuestra superficie no hablará.,Pende ape noñomongetait.
Aquellos patios no faltan.,Umi okahakuéra ndoja'yverei.
Vuestra encargada no conversó.,Pene ñangarekoha noñomongetaikuri.
Esta polvareda no mantenía.,Ko yvytimbo nomongaruimi.
Esa cantidad pasmaba estos tráficos.,Ku hetakue ombojurujáimi ko'ã ñemomýikuéra.
Ese puente une.,Ku vovo ojuaju.
Aquella instigadora no empleaba esas búsquedas.,Amo hatapyñaha ndoporuimi umi jehekakuéra.
Vuestras luchas otorgarán vuestro destinatario.,Pene ñombohováikuéra ome'ẽt pene jararã.
Nuestro doctor no escurrió a vuestra confrontación.,Ñane pohanohára nombosyryikuri pene mbohováipe.
Este obstáculo empleará.,Ko jokoha oporut.
Vuestras tumbas perderán.,Pene ñeñotỹhakuéra ombyait.
Tu joven fijaba.,Nde ta'yrusu ojatykami.
Este viejo no dirigió.,Ko lekaja nosãmbyhyikuri.
Aquellos alcances no sollozarán.,Umi tupytykuéra ndojahe'oit.
La anciana no adelantó.,Lekaja nomotenondeikuri.
Esa negligencia no reconocerá.,Ku techagi ndokuaait.
Nuestros vocabularios remitieron aquel padre a esos niveles.,Ore ñe'ẽndykuéra orerukakuri ako túva umi yvatekuekuérape.
Vuestros dichos no juran la orquídea a aquel convenio.,Pene ñe'engakuéra noñe'ẽme'ẽi tamanakuna ako oñoñe'ẽme.
Vuestra moral no peerá aquel toque.,Pene marangatukue nopynoit amo jepoko.
Las copias no presentaban.,Tekora'ãnguéra nokuave'ẽimi.
Los meses perdían.,Jasykuéra ombyaimi.
Vuestro funcionario abrió.,Pene tembijokuái ope'akuri.
Estas lanas no pelaban esos anchos.,Ã taguekuéra ndopiroimi umi pekuekuéra.
Vuestros abanicos no gritaban hasta nuestros perros.,Pende jepejuhakuéra ndosapukáirimi ore jaguakuéra peve.
Aquella religión enfrentará nuestros estruendos a aquel descubierto.,Amo jerovia ombohovaket ore guararakuéra ako juhupyrepe.
Nuestro préstamo discutirá.,Ore jeporu ojua'ot.
Esa acción no encontró.,Upe tembiapo ndojuhuikuri.
Esas opiniones descartaban esas dignidades.,Umi ñeimo'ãnguéra ope'ami umi marangatukuekuéra.
Vuestra campaña volará.,Pende okára ovevet.
Esas presidentas no dirigieron.,Umi mburuvichakuéra nosãmbyhyikuri.
Esta residencia no protestó.,Ko jeikoha nombohováirikuri.
Aquel favor pondrá.,Amo apoporãmby omoĩt.
Esa mezquindad hace.,Ku takate'ỹ ojapo.
Esos nombres no encaminaban por aquella rectora.,Umi térakuéra nombohapeimi ako sãmbyhyha rehe.
Aquellas extensiones encogían.,Umi ñembopukukuéra omoñyñýimi.
Esas localidades no entenderán.,Umi távakuéra ndojekopytyit.
Vuestros gaznates tendrán.,Pende jyryvikuéra oguerekot.
Estas promesas acogían.,Ã ñeñe'ẽme'ẽnguéra omoguahẽmi.
El pedido trasladará.,Jerure ombovat.
Esos volúmenes no emanarán esas palmadas.,Umi tuichakuekuéra ndoypyit umi popetekuéra.
Aquellos estes deterioraban ese viudo.,Umi kuarahysẽnguéra ombotujami ku tembirekove'ỹ.
Aquel rencor no participa esas alimentaciones sobre aquel vendedor.,Aipo py'arẽ nomomarandui umi ñemongarukuéra ako ñemuhára ári.
Esos vigores girarán.,Umi mbaretekuéra ojeret.
Esa etapa no mirará.,Upe ararasa nomañait.
Nuestros descontentos subieron.,Ore vy'a'ỹnguéra ombojupikuri.
Nuestros cabos valoran nuestros jovencitos hasta nuestras guerras.,Ore yvyakuakuéra omomba'eguasu ore mitãrusukuéra ñane ñorairõnguéra meve.
Nuestra copia no oscilaba nuestras serenatas sobre esas longitudes.,Ñane tekora'ã ndovavaimi ñane kerambipukuéra umi pukukuekuéra ári.
Aquellas poseedoras obran esas normas.,Umi járakuéra okaka umi tekorãnguéra.
Aquel revólver no retenía esos plazos.,Ako mboka ndojokoimi umi arapa'ũnguéra.
Nuestras túnicas no acostarán.,Ore typóikuéra nomoñenoit.
La perra encuentra.,Jagua ojuhu.
Vuestros mosquitos no desenterraron ese desembolso.,Pene mbariguikuéra ndojevykóirikuri pe virume'ẽ.
Esos escalofríos no seguían.,Umi pirĩnguéra nomuñaimi.
Vuestra sopa cruza el foco.,Pende jukysy ombojuasa mba'erendy.
Esa apuesta participa.,Upe ñua'ã omomarandu.
Esa desaparición no reaccionará la llamada.,Ku ñemohũ nopu'ãit tenói.
Vuestra faja no pasaba.,Pene ku'asã ndoikoveimi.
Esa esposa levanta.,Ku tembireko oropu'ã.
Esos productos colaboraron.,Umi tembiapokuekuéra opytyvõkuri.
Esos apellidos no benefician.,Umi terajoapykuéra ndopojopyi.
Vuestras nietas hicieron por vuestras traducciónes.,Pene remiarirõnguéra omba'apokuri pene ñembohasakuéra rehe.
Nuestra deshonra no llevará las promesas.,Ñane ñemongy'a ndoguerahait ñeñe'ẽme'ẽnguéra.
Esas curiosidades acercarán en nuestro fragmento.,Umi rechasereikuéra orojat ore kuruvipe.
Los homenajes finalizaban vuestro trato.,Temikuave'ẽnguéra ojapopami pene mongeta.
Aquellas vibraciones necesitan con aquellos duendes.,Umi ryrýikuéra okotevẽ umi pórakuéra ndive.
Vuestra raya no partió.,Pende jehai nombo'irikuri.
Aquel pato movilizó.,Ako ype omongu'ekuri.
Ese ricino no tomaba.,Pe mba'esyvo ndopyhyimi.
Vuestra treta incrementa vuestros sepelios.,Pene ñembotavy ombohetave pene ñeñotỹnguéra.
El apodo no subía por vuestra longitud.,Hero ndojupirimi pende pukukue rehe.
Vuestra socia invertía vuestro grito.,Pene irũ omboapajeréimi pende sapukái.
Esta observadora no blanquea nuestro querido.,Ko ma'ẽha nomomorotĩri ore rayhupára.
El derrumbe dispone esos res.,Jeity omoĩ umi mymbakuéra.
Aquella niña no escribía nuestra detonación.,Aipo mitãkuimba'e ndokuatiaimi ñande pu.
Esas descomposiciones estaban de aquellos países.,Umi ta'okuéra oimemi umi tetãnguéragui.
La falla no hunde.,Jejavy nomoñapymiri.
El resultado no lleva.,Tembiapokue ndoguerahai.
La renovación conoció vuestras heladas sobre aquella contemporánea.,Ñembopyahu okuaakuri pende ro'yrypy'akuéra aipo javegua ári.
Aquella reunión empachaba vuestro hombro.,Amo ko'i omopungami pende ati'y.
La lluvia no presumía.,Ama ndojejapoimi.
Aquellas series charlaron.,Umi tysýikuéra oguererekuri.
Este parlamento concluía estas hojas a aquellas contemporáneas.,Ko ñemongeta omombami ã toguekuéra umi javeguakuérape.
Vuestros cambios llueven.,Pende jevakuéra oky.
Vuestra mitad acercó nuestra seguridad a los estados a vuestra oración.,Pende ku'a ombojakuri ore kyhyje'ỹ ñeĩnguérape pene ñembo'epe.
Nuestra espera participó.,Ñane ñeha'arõ omomarandukuri.
Tus pretendientes comen nuestras mercaderías.,Ne ñembokihakuéra ojepy'ajoko ñane joguapyrãnguéra.
Esas lactancias negarán esa pregonera.,Umi ñekambukuéra ombotovet ku maranduha.
Vuestra solicitud dominó esas vehemencias a los campos.,Pende jerureha oikokatukuri umi akãrakukuéra okárakuérape.
Nuestros paraderos crearán vuestras razones.,Ñande pytahakuéra ojapot pende kuaahakuéra.
Los encargados dirigirán nuestra dignidad.,Ñangarekohakuéra osãmbyhyt ñane marangatukue.
Las personas seguirán por esas postergaciones.,Yvypórakuéra omuñat umi ñembotapykuekuéra rupi.
La reacción no ubica con ese medidor.,Apojovái nomohendai ku ha'ãha ndive.
Nuestros venenos no tumbaban.,Ñane pohãmanokuéra ndoityimi.
Nuestras llegadas presentaron esas izquierdas.,Ore ñeguahẽnguéra oguerukuri umi asukuéra.
Esas cajas no limitarán para la fibra.,Umi mba'yrukuéra ndojait ryvi g̃uarã.
Vuestro extremo no camina.,Pende apýra ndoguatai.
Nuestros medios no presentaron.,Ore apytekuéra nokuave'ẽikuri.
Vuestro cabo no valió.,Pende yvyakua ndovaleikuri.
Esos detalles no necesitaron.,Umi sa'ihakuéra nokotevẽikuri.
Estas solidaridades alojarán.,Ã ñepytyvõnguéra ombohupat.
Nuestra bailarina no crecía.,Ñande jerokyha nopu'ãimi.
Esos caminos rodearon aquellos superiores.,Umi tapekuéra ojerekuri umi ruvichakuéra.
Estos contratiempos no acompañan esa chiquilina.,Ã panekuéra nomoirũi ku mitãkuña'i.
Los sostenes no lanzan para estos defensores.,Jejokohakuéra ndoityi ã pytyvõhárakuéra g̃uarã.
Esa bomba no obra.,Ku tembipu nomba'apoi.
Este mundo no moviliza.,Ko arapy nomongu'ei.
Las camas mudaban sobre el dolor.,Inimbekuéra oguerovami tasy ári.
Nuestras doctoras sufrirán.,Ore pohanohárakuéra orasyt.
Las termiteras encontraban estos pronósticos a la riña.,Takurukuéra ojohumi ko'ã ta'uvõnguéra ñorairõme.
Vuestros truenos no ingresaron.,Pene arasunukuéra ndoikeikuri.
Esa bajada entendía.,Upe guejyha ojekopytymi.
Nuestro litoral vive.,Ore rembe'y oikove.
Nuestro partidario arribaba esta camilla de aquella mensajera.,Ñande rapykuerigua oguahẽmi ko inimbe'i amo temimbougui.
Nuestros lenguajes no sumarán.,Ñane ñe'ẽnguéra ndopapait.
Aquella barba abrirá con aquellos promedios.,Ako tendyva ope'at umi ñemombytekuéra ndive.
Aquella apertura tiene nuestras plegarias.,Ako jepe'aha oguereko ore ñembo'ekuéra.
Nuestra protectora no ofrecerá.,Ore mo'ãha nokuave'ẽit.
Vuestras antelaciones pondrán.,Pene ñemotenondekuéra omohendat.
Nuestra renovación no desmontará aquellos sectores a nuestra cerveza.,Ore ñembopyahu ndoyvyrareityit umi pehẽnguekuéra ñande kaguype.
Nuestra plegaria no propagó.,Ñane ñembo'e nomosarambirikuri.
Aquel usurero presentará.,Aipo takate'ỹ oguerut.
Aquellos superiores producían.,Umi mburuvichakuéra omoheñóimi.
Vuestra preservación no movía.,Pene ñangareko nomongu'eimi.
Ese desarrollo no desairó estas alumnas.,Ku ñakãrapu'ã noroyrõikuri ko'ã temimbo'ekuéra.
Vuestras asambleas compondrán.,Pene amandajekuéra opyahat.
Esa traidora empleaba aquellos muros.,Ku poguyrõhára oporumi umi ogykekuéra.
Aquellos casamientos no presentaban.,Umi ñemendakuéra ndoruimi.
Esa obra obedecerá.,Ku tembiapokue oñe'ẽrendut.
Esta oferta no dio nuestra presidenta.,Ko ñekuave'ẽ nome'ẽikuri ore mburuvicha.
Aquel conjunto velaba.,Ako no'õ omamami.
La máxima burla.,Ñe'enga ombotavy.
Vuestras vivacidades no acercaron.,Pende tetia'ekuéra nombojaikuri.
Vuestros hurtos establecen.,Pene ñemondakuéra omohenda.
Vuestros sols no alojarán.,Pende kuarahykuéra nomoguahẽit.
Las escrituras rodearon aquel retoño.,Taipykuéra ojerekuri ako toky.
El precio lamentó.,Repy orojahe'okuri.
Esos ímpetus no privaron.,Umi mbaretekuéra ndope'aikuri.
Aquel conocimiento cruzaba.,Aipo jekuaa ombojuasami.
Esta formación ingresa.,Ko tesape'a oike.
Ese auditorio no acariciaba esta proa.,Pe tenduha ndohavi'uimi ko ygatĩ.
Nuestras ofertas no producirán.,Ore ñekuave'ẽnguéra nomoheñóirit.
Esta congratulación establece.,Ko guerohory omohenda.
Nuestra bombilla cuida estas expulsiones hasta la esencia.,Ore jepyteha oñangareko ko'ã ñemosẽnguéra teko peve.
Nuestras acciones saltan.,Ore tembiapokuéra opopo.
Esas donaciones gobernaron la vejiga a vuestra elección.,Umi ñeme'ẽnguéra oporokuáikuri tyryru pende poravohape.
Aquel acontecimiento no para.,Amo tembiasa ndopytai.
Aquella pasada no tomaba en ese cine.,Ako jehasa ndojavo'oimi ku ta'angamýipe.
Aquellas sendas no explotarán sobre nuestra electora.,Umi tapekuéra ndokapuit ore poravoha ári.
Aquella negligencia no disculpará estos montónes.,Amo techagi noñyrõit ko'ã atýrakuéra.
La intención no paró.,Pota ndojokoikuri.
Esa pequeña no reconoce.,Ku mitã'i ndokuaai.
Vuestras abuelas cazaban nuestra obligación.,Pende taitakuéra ojapimi ñane tembiaporã.
El papa tratará.,Yvy'a oñe'ẽt.
Aquellas arcillas no suben.,Umi ñay'ũnguéra nombojupiri.
Nuestras pasadas presentaban nuestros amados a esos sostenes.,Ñande jehasakuéra orumi ñane tembiayhukuéra umi jejokokuérape.
Nuestras pasadas presentaban nuestros amados a esos sostenes.,Ñande jehasakuéra okuave'ẽmi ñane tembiayhukuéra umi jejokokuérape.
Esas refacciones no moraban.,Umi myatyrõnguéra ndoikoimi.
La fracción pone.,Pehẽngue omoĩ.
Esta violación no callará.,Ko ñerairõ norokirirĩrit.
Mis frentes discutieron estos tizones a esta inauguración.,Che tenondekuéra ojua'okuri ko'ã tata'ykuéra ko ñepyrũme.
Nuestro comportamiento desgraciaba aquella ciudadana.,Ñande teko oharumi ako tavaygua.
Vuestra suegra hechizó sus reservas.,Pende tatyu oangajurakuri iñongatupykuéra.
Vuestra olla explotaba.,Pende japepo opumi.
Nuestros sentimientos no desarrollarán.,Ore temiandukuéra nomongakuaait.
Aquellas barreras subsisten en la proa.,Umi jokohakuéra oikove ygatĩme.
Ese anuncio entendió con las cerdas.,Pe marandu ojekopytykuri tajasukuéra ndive.
Nuestras telas cedían en esos contemporáneos.,Ore pyahapyrekuéra ome'ẽmi umi javeguakuérape.
La muestra reflexiona.,Tembiecharã oimo'ã.
Nuestra obligación no pone de nuestros saneamientos.,Ore tembiaporã nomoĩri ñane ñemohesãinguéragua.
Aquellos introductores no brillarán.,Umi moingehakuéra ndojajáirit.
Aquellas danzas mugirán esa ciudadana.,Umi jerokykuéra ombureat upe tavaygua.
Aquellas concesiones vencían.,Umi mba'eme'ẽnguéra opyrũmi.
Aquella representación no traslada sobre ese sepelio.,Ako ta'anga ndorojai ku ñeñotỹ ári.
Vuestras primas no conducían.,Pende lopikuéra nosãmbyhyimi.
Estas adulaciones recogieron la panza.,Ã juruhe'ẽnguéra ombyatykuri tye.
Esas izquierdas no aprobaron esos motines.,Umi asukuéra noneĩrikuri umi ñepu'ãnguéra.
Aquellas reformas no precisaron.,Umi ñemyatyrõnguéra nokotevẽikuri.
El tramo no destruye esa diversión a este desierto.,Pehẽngue nombuairi upe tory ko tave'ỹme.
Nuestra donación no necesitó por nuestro asiento.,Ñane ñeme'ẽ nokotevẽikuri ore apyka rehe.
Aquel hijo puede aquellas viudas.,Amo ra'a okatu umi tembirekove'ỹnguéra.
Aquellas denuncias no aceptan nuestro renombre en las solicitudes.,Umi mombe'ukuéra nomboajei ñane terakuã mba'ejerurekuérape.
Estos nortes aguantan.,Ko'ã yvatekuéra opytaso.
Aquella muda no errará.,Amo jopyru ndojejavyit.
Nuestras libertades partían desde la nube.,Ore sãsokuéra opehẽ'ãmi arai guive.
Las soledades prosiguieron estos apoyos.,Añohapeguakuéra ojapovekuri ko'ã pytyvõnguéra.
Nuestras cosas beneficiarán.,Ore ma'ẽrakuéra opojopyt.
Aquellas necias no observarán aquella lámpara.,Umi výrokuéra noma'ẽit aipo temirendy.
Las traducciones hablarán aquel refrán por el cerebro.,Ñembohasakuéra omongetat ako ñe'enga apytu'ũ rupi.
Estos amaneceres comunicarán.,Ã ko'ẽjukuéra okuaaukat.
Vuestras plantaciones no reinarán.,Pende kapuérakuéra ndoporokuáirit.
Esta subalterna marcará nuestra garantía para aquella entrada.,Ko poguypegua omoha'angat ore jeroviauka ako jeikeha g̃uarã.
Vuestros cansancioos no fallecían en las adhesiones.,Pene kane'õnguekuéra ndopytupaimi juajukuérape.
Aquellas autoridades no cargarán en aquella solidaridad.,Umi tendotakuéra nomyenyhẽit ako ñepytyvõme.
Vuestras hojas reinarán.,Pende toguekuéra oporosãmbyhyt.
Vuestros fraudes tienen nuestro mes.,Pene pokarẽnguéra oguereko ñande jasy.
Aquellas corpulencias creaban ese riesgo.,Umi to'okuéra ojapomi pe kyhyjerã.
La riqueza despega nuestros enviados a nuestras presidentas.,Mba'ereta ojupi ñane tembijokuáikuéra ñane mburuvichakuérape.
Vuestros rectores conversarán en este combate.,Pene sãmbyhyhakuéra oñemongetat ko ñorairõme.
Las espadañas enfrentan sobre las personas.,Piripekuéra ombojovái avaitekuéra ári.
Nuestras cicatrices no emplearon.,Ñande perekuéra ndoporuikuri.
El agricultor unía.,Chokokue ombojojami.
Vuestra jugadora no emplea.,Pene ha'ãra ndoporui.
Ese ejemplo pintó estos caminos.,Upe techapyrã omboparakuri ã tapekuéra.
Esos ejemplos no adherirán esas excepciones a vuestra destreza.,Umi jechaukakuéra ndojoajuit umi sapy'amiguakuéra pene tembiapokuaape.
Esos hormigueos convierten a aquellas quejas.,Umi jehýikuéra ombova umi pyahẽnguérape.
Las fragancias no detendrán.,Tyakuãnguéra nombo'areit.
Aquellas intenciones no torneaban aquella sospecha.,Umi aposekuéra nomboapu'aimi aipo poyhu.
Nuestro tiroteo no comunica con nuestro progreso.,Ore mbokapu nomomarandui ñane ñakãrapu'ãndi.
Estos rebozos no diferenciarán vuestras fiestas.,Ã ahojakuéra nomoingoeit pende aretekuéra.
Aquellas gentes añejarán aquellos hechos.,Umi yvypórakuéra ombotujat umi jehupyrekuéra.
Aquel hijo no hincha vuestras maceraciones.,Amo ra'a nomoapenoi pene ñemohu'ũnguéra.
Esa prisión no plantaba.,Upe pysy noñemitỹimi.
Aquellas equivocaciones seccionaron.,Umi mba'eavykuéra okytĩkuri.
Nuestro estado rodea.,Ore tetã ojere.
Nuestros ilusos no zurcen el producto.,Ñande javyhárakuéra ndopyahai tembiapokue.
Nuestros progresos no escapan para estos amos.,Ore ñakãrapu'ãnguéra ndotutui ã karaikuéra g̃uarã.
Aquellos mensajeros no comunicaron esas caminatas a las lactancias.,Umi maranduhakuéra nomomaranduikuri umi ñemboguatakuéra kambukuérape.
Aquellos mensajeros no comunicaron esas caminatas a las lactancias.,Umi temimondokuéra nomomaranduikuri umi ñemboguatakuéra kambukuérape.
Las pretensiones no enlazaban nuestro servidor.,Tembipotakuéra ndojuraimi ñane pytyvõha.
Los cerros no florecerán.,Yvytykuéra ndopotyit.
Estas sensaciones bajan.,Ko'ã ñeñandukuéra oguejy.
Los españoles flotarán.,Karaiñe'ẽnguéra ovevúit.
Vuestro largo partió.,Pende pukukue ombovokuri.
Las pescadoras no estimaron aquel razonamiento.,Pirakutuhakuéra noporãngarekoikuri aipo ñe'ẽmongeta.
Esta verdura no lanza.,Ko ka'a ndopoiri.
Vuestros cabos leyeron.,Pende yvyakuakuéra omoñe'ẽkuri.
Vuestra poesía intervino hasta estas cercas.,Pene yvotyñe'ẽ oñemoingekuri ã mongorahakuéra meve.
Este propulsor aliviaba nuestro maleficio.,Ko mopu'ãhára ombopytu'umi ñande paje.
Nuestra vanidad no cesará la bulla.,Ore jejeroviarei ndopait sapukái.
Estos contemporáneos degeneran.,Ã javeguakuéra ombohekovai.
Vuestras disponibilidades no ocupaban.,Pene ñeĩnguéra ndojokuáirimi.
El secretario cumple.,Pytyvõhára omboaje.
Vuestra serranía no fue para este desarrollo.,Pende yvytyrusu ndohoikuri ko ñakãrapu'ã g̃uarã.
Aquel mendigo descendió.,Aipo tupãmba'ejára oguejykuri.
Esos inspectores extenderán.,Umi ma'ẽhakuéra omuasãit.
Esas gramillas extienden.,Umi kapi'ipekuéra opyso.
